target_pref_name,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_transformed
Replicase polyprotein 1ab,CHEMBL5195478,CC(C)C[C@H](NC(=O)/C=C/c1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,active,399.49100000000016,1.4406,3.0,4.0,6.42712839779952
Replicase polyprotein 1ab,CHEMBL5200040,CCCC[C@H](NC(=O)/C=C/c1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,active,399.49100000000016,1.5846999999999998,3.0,4.0,6.428291168191312
Replicase polyprotein 1ab,CHEMBL5207566,CCCC[C@H](NC(=O)/C=C/c1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,413.5180000000002,1.9748,3.0,4.0,6.557520230935552
Replicase polyprotein 1ab,CHEMBL5203574,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1ccc2ccccc2c1)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,536.6730000000003,2.7251000000000003,4.0,5.0,6.567030709125595
Replicase polyprotein 1ab,CHEMBL5205787,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1ccc([N+](=O)[O-])cc1)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,531.6100000000004,1.4801000000000004,4.0,7.0,6.679853713888946
Replicase polyprotein 1ab,CHEMBL3885329,CC(C)C[C@H](NC(=O)/C=C/c1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,413.5180000000002,1.8307,3.0,4.0,6.493494967595128
Replicase polyprotein 1ab,CHEMBL5199094,O=C[C@H](C[C@@H]1CCCNC1=O)NC(=O)[C@H](CC1CC1)NC(=O)/C=C/c1ccccc1,active,411.5020000000001,1.5847000000000009,3.0,4.0,6.525783735923745
Replicase polyprotein 1ab,CHEMBL5203407,C[C@H](NC(=O)/C=C/c1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,inactive,371.4370000000002,0.8044999999999995,3.0,4.0,4.909389292171594
Replicase polyprotein 1ab,CHEMBL5172144,CCC[C@H](NC(=O)/C=C/c1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,512.6510000000003,2.1156000000000006,4.0,5.0,6.265200170411153
Replicase polyprotein 1ab,CHEMBL5190907,CC[C@H](C)[C@H](NC(=O)/C=C/c1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,526.6780000000003,2.361600000000001,4.0,5.0,6.447331783887806
Replicase polyprotein 1ab,CHEMBL5183017,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)/C=C/c1ccccc1)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,512.6510000000003,1.9715000000000005,4.0,5.0,6.55129368009492
Replicase polyprotein 1ab,CHEMBL5176330,Cc1ccc(/C=C/C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)C[C@@H]2CCCNC2=O)C(C)C)cc1,active,526.6780000000003,2.2799200000000006,4.0,5.0,6.707743928643524
Replicase polyprotein 1ab,CHEMBL5189974,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)/C=C/c1ccc(C(C)C)cc1)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,554.7320000000003,3.0949000000000018,4.0,5.0,6.638272163982407
Replicase polyprotein 1ab,CHEMBL5179730,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)/C=C/c1ccc(-c2ccccc2)cc1)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,588.749,3.6385000000000014,4.0,5.0,6.530177984021837
Replicase polyprotein 1ab,CHEMBL5207843,COc1ccc(/C=C/C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)C[C@@H]2CCCNC2=O)C(C)C)cc1,active,542.6770000000004,1.9801000000000015,4.0,6.0,6.603800652904264
Replicase polyprotein 1ab,CHEMBL5189874,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)/C=C/c1ccc(N(C)C)cc1)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,555.7200000000003,2.037500000000001,4.0,6.0,6.22767829327708
Replicase polyprotein 1ab,CHEMBL5201697,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)/C=C/c1ccc(F)cc1)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,530.6410000000003,2.1106000000000003,4.0,5.0,6.512861624522813
Replicase polyprotein 1ab,CHEMBL5197113,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)/C=C/c1ccccc1F)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,530.6410000000003,2.1106000000000003,4.0,5.0,6.761953896871205
Replicase polyprotein 1ab,CHEMBL5198279,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)/C=C/c1cccc(F)c1)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,530.6410000000003,2.1106000000000003,4.0,5.0,6.5934598195660445
Replicase polyprotein 1ab,CHEMBL5169416,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1cc2ccccc2[nH]1)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,525.6500000000003,2.0532000000000004,5.0,5.0,6.530177984021837
Replicase polyprotein 1ab,CHEMBL5192541,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1ccc2cc[nH]c2c1)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,525.6500000000003,2.0532000000000004,5.0,5.0,6.655607726314889
Replicase polyprotein 1ab,CHEMBL5182229,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)CCc1ccccc1)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,514.6670000000003,1.8909000000000005,4.0,5.0,6.701146923590294
Replicase polyprotein 1ab,CHEMBL5191197,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)c1ccccc1)C(C)C)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,active,486.61300000000034,1.5719000000000003,4.0,5.0,6.590066876668706
