target_pref_name,molecule_chembl_id,canonical_smiles,pIC50
SARS coronavirus 3C-like proteinase,CHEMBL377253,CC(=O)c1ccccc1S(=O)(=O)c1ccccc1C(=O)O,4.795880017
SARS coronavirus 3C-like proteinase,CHEMBL215397,O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,4.602059991
SARS coronavirus 3C-like proteinase,CHEMBL378342,CCOC(=O)C(=CNc1ccc(S(=O)(=O)c2ccc(/N=C/C(C(=O)OCC)=C(\O)OCC)cc2)cc1)C(=O)OCC,4.494850022
SARS coronavirus 3C-like proteinase,CHEMBL379642,O=C(Sc1nnc(C(F)(F)F)[nH]1)c1ccc(C#Cc2ccccc2)o1,5.522878745
SARS coronavirus 3C-like proteinase,CHEMBL427404,Cc1noc(NC(=O)c2ccc(-c3cc(C(F)(F)F)nn3C)s2)c1[N+](=O)[O-],5.301029996
SARS coronavirus 3C-like proteinase,CHEMBL212190,Cc1oc(C(C)(C)C)cc1-c1cc(NS(=O)(=O)c2cccs2)[nH]n1,5
SARS coronavirus 3C-like proteinase,CHEMBL378700,CSc1[nH]nc(NC(=O)c2cccs2)c1S(=O)(=O)c1ccccc1,4.823908741
SARS coronavirus 3C-like proteinase,CHEMBL212019,CC1(C)CC(=O)c2c(NCc3ccco3)sc(C#N)c2C1,4.795880017
SARS coronavirus 3C-like proteinase,CHEMBL212399,CSc1nn(-c2c([N+](=O)[O-])c(C)nn2C)c(-c2cccs2)c1C#N,4.744727495
SARS coronavirus 3C-like proteinase,CHEMBL215733,O=S(=O)(Cc1[nH]c(-c2ccc(Cl)s2)c[s+]1)c1cccs1.[Br-],4.744727495
SARS coronavirus 3C-like proteinase,CHEMBL375130,Cc1nn(C)c(NCc2ccc(-c3cccs3)s2)c1[N+](=O)[O-],4.698970004
SARS coronavirus 3C-like proteinase,CHEMBL214372,O=C(Cc1nccs1)c1nccs1,4.397940009
SARS coronavirus 3C-like proteinase,CHEMBL212218,Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl,6.522878745
SARS coronavirus 3C-like proteinase,CHEMBL222840,O=C(Oc1cncc(Cl)c1)c1ccco1,7.22184875
SARS coronavirus 3C-like proteinase,CHEMBL222769,O=C(Oc1cncc(Cl)c1)c1ccc(-c2ccc(Cl)cc2)o1,7.200659451
SARS coronavirus 3C-like proteinase,CHEMBL222735,COc1cccc(C(=O)Oc2cncc(Cl)c2)c1,6.468521083
SARS coronavirus 3C-like proteinase,CHEMBL222628,O=C(Oc1cncc(Cl)c1)c1cscn1,6.568636236
SARS coronavirus 3C-like proteinase,CHEMBL222893,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2s1,7.022276395
SARS coronavirus 3C-like proteinase,CHEMBL225515,O=C(Oc1cncc(Cl)c1)c1cc2ccccc2[nH]1,7.187086643
SARS coronavirus 3C-like proteinase,CHEMBL222234,O=C(Oc1cncc(Br)c1)c1ccco1,7.301029996
